"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6208","Verify Account Registration","chromium","2026-06-24","passed","2026-06-24","Account Registration Tests","AccountRegistration.spec.ts","",""
"","5819","Login with Valid credentials for Enola_Hilll-Cremin66@hotmail.com","chromium","2026-06-24","passed","2026-06-24","Login scenario","Login.spec.ts","",""
"","847","has title","chromium","2026-06-24","passed","2026-06-24","","example.spec.ts","",""
"","6139","Verify Account Registration @smoke","chromium","2026-06-25","passed","2026-06-25","Account Registration Tests @s","AccountRegistration.spec.ts","",""
"","2060","Login with Valid credentials for Miles59@gmail.com","chromium","2026-06-24","passed","2026-06-24","Login scenario","Login.spec.ts","",""
"","2248","Login with Valid credentials for Kennedy_Bayer93@yahoo.com","chromium","2026-06-24","passed","2026-06-24","Login scenario","Login.spec.ts","",""
"","2140","Login with Valid credentials for Willard.Orn@gmail.com","chromium","2026-06-24","passed","2026-06-24","Login scenario","Login.spec.ts","",""
"","1935","Login with invalid credentials for","chromium","2026-06-24","failed","2026-06-24","Login scenario","Login.spec.ts","",""
"","2198","Login with Valid credentials for Monroe_Quitzon@gmail.com","chromium","2026-06-24","passed","2026-06-24","Login scenario","Login.spec.ts","",""
"","1067","get started link","chromium","2026-06-24","passed","2026-06-24","","example.spec.ts","",""
"","2963","Login with Valid credentials for Morton35@yahoo.com","chromium","2026-06-24","passed","2026-06-24","Login scenario","Login.spec.ts","",""
"","2189","Login with Valid credentials for Leta78@yahoo.com","chromium","2026-06-24","passed","2026-06-24","Login scenario","Login.spec.ts","",""
"","2284","Login with Valid credentials for Richard_Grimes@hotmail.com","chromium","2026-06-24","passed","2026-06-24","Login scenario","Login.spec.ts","",""
